timestamp,algorithm,class,operation,time_ms,ops_per_sec,notes
2025-11-09T18:43:17+00:00,X25519,ecdh,ecdh,0.0387,25822.50,classical
2025-11-09T18:43:20+00:00,X25519,ecdh,ecdh,0.0337,29664.50,classical
2025-11-09T18:43:23+00:00,X25519,ecdh,ecdh,0.0331,30244.80,classical
2025-11-09T18:43:26+00:00,X25519,ecdh,ecdh,0.0343,29145.60,classical
2025-11-09T18:43:29+00:00,X25519,ecdh,ecdh,0.0319,31386.20,classical
2025-11-09T18:43:32+00:00,X25519,ecdh,ecdh,0.0320,31219.00,classical
2025-11-09T18:43:35+00:00,X25519,ecdh,ecdh,0.0315,31768.80,classical
2025-11-09T18:43:38+00:00,X25519,ecdh,ecdh,0.0317,31571.50,classical
2025-11-09T18:43:41+00:00,X25519,ecdh,ecdh,0.0315,31703.00,classical
2025-11-09T18:43:44+00:00,X25519,ecdh,ecdh,0.0317,31508.10,classical
2025-11-09T18:43:47+00:00,X25519,ecdh,ecdh,0.0327,30552.90,classical
2025-11-09T18:43:50+00:00,X25519,ecdh,ecdh,0.0319,31327.90,classical
2025-11-09T18:43:53+00:00,X25519,ecdh,ecdh,0.0317,31556.80,classical
2025-11-09T18:43:56+00:00,X25519,ecdh,ecdh,0.0314,31813.80,classical
2025-11-09T18:43:59+00:00,X25519,ecdh,ecdh,0.0318,31399.00,classical
2025-11-09T18:44:03+00:00,X25519,ecdh,ecdh,0.0317,31526.30,classical
2025-11-09T18:44:06+00:00,X25519,ecdh,ecdh,0.0315,31720.00,classical
2025-11-09T18:44:09+00:00,X25519,ecdh,ecdh,0.0317,31545.90,classical
2025-11-09T18:44:12+00:00,X25519,ecdh,ecdh,0.0328,30478.10,classical
2025-11-09T18:44:15+00:00,X25519,ecdh,ecdh,0.0318,31445.10,classical
2025-11-09T18:44:18+00:00,X25519,ecdh,ecdh,0.0313,31916.40,classical
2025-11-09T18:44:21+00:00,X25519,ecdh,ecdh,0.0312,32099.00,classical
2025-11-09T18:44:24+00:00,X25519,ecdh,ecdh,0.0313,31981.50,classical
2025-11-09T18:44:27+00:00,X25519,ecdh,ecdh,0.0319,31305.40,classical
2025-11-09T18:44:30+00:00,X25519,ecdh,ecdh,0.0312,32099.30,classical
2025-11-09T18:44:33+00:00,X25519,ecdh,ecdh,0.0332,30116.80,classical
2025-11-09T18:44:36+00:00,X25519,ecdh,ecdh,0.0318,31478.50,classical
2025-11-09T18:44:39+00:00,X25519,ecdh,ecdh,0.0315,31700.00,classical
2025-11-09T18:44:42+00:00,X25519,ecdh,ecdh,0.0312,32000.30,classical
2025-11-09T18:44:45+00:00,X25519,ecdh,ecdh,0.0315,31789.20,classical
2025-11-09T18:44:48+00:00,P-256,ecdh,ecdh,0.0480,20848.60,classical
2025-11-09T18:44:51+00:00,P-256,ecdh,ecdh,0.0473,21160.10,classical
2025-11-09T18:44:54+00:00,P-256,ecdh,ecdh,0.0472,21181.50,classical
2025-11-09T18:44:57+00:00,P-256,ecdh,ecdh,0.0472,21187.50,classical
2025-11-09T18:45:00+00:00,P-256,ecdh,ecdh,0.0482,20730.70,classical
2025-11-09T18:45:03+00:00,P-256,ecdh,ecdh,0.0473,21142.60,classical
2025-11-09T18:45:06+00:00,P-256,ecdh,ecdh,0.0475,21039.40,classical
2025-11-09T18:45:09+00:00,P-256,ecdh,ecdh,0.0476,20987.80,classical
2025-11-09T18:45:13+00:00,P-256,ecdh,ecdh,0.0478,20899.70,classical
2025-11-09T18:45:16+00:00,P-256,ecdh,ecdh,0.0474,21115.90,classical
2025-11-09T18:45:19+00:00,P-256,ecdh,ecdh,0.0475,21063.40,classical
2025-11-09T18:45:22+00:00,P-256,ecdh,ecdh,0.0473,21133.10,classical
2025-11-09T18:45:25+00:00,P-256,ecdh,ecdh,0.0472,21180.10,classical
2025-11-09T18:45:28+00:00,P-256,ecdh,ecdh,0.0486,20562.50,classical
2025-11-09T18:45:31+00:00,P-256,ecdh,ecdh,0.0475,21033.30,classical
2025-11-09T18:45:34+00:00,P-256,ecdh,ecdh,0.0479,20874.10,classical
2025-11-09T18:45:37+00:00,P-256,ecdh,ecdh,0.0473,21159.90,classical
2025-11-09T18:45:40+00:00,P-256,ecdh,ecdh,0.0473,21130.30,classical
2025-11-09T18:45:43+00:00,P-256,ecdh,ecdh,0.0486,20563.80,classical
2025-11-09T18:45:46+00:00,P-256,ecdh,ecdh,0.0488,20498.30,classical
2025-11-09T18:45:49+00:00,P-256,ecdh,ecdh,0.0477,20973.20,classical
2025-11-09T18:45:52+00:00,P-256,ecdh,ecdh,0.0471,21219.90,classical
2025-11-09T18:45:55+00:00,P-256,ecdh,ecdh,0.0472,21207.70,classical
2025-11-09T18:45:58+00:00,P-256,ecdh,ecdh,0.0476,21019.10,classical
2025-11-09T18:46:01+00:00,P-256,ecdh,ecdh,0.0477,20979.90,classical
2025-11-09T18:46:04+00:00,P-256,ecdh,ecdh,0.0476,21027.30,classical
2025-11-09T18:46:07+00:00,P-256,ecdh,ecdh,0.0475,21053.90,classical
2025-11-09T18:46:10+00:00,P-256,ecdh,ecdh,0.0473,21122.60,classical
2025-11-09T18:46:13+00:00,P-256,ecdh,ecdh,0.0472,21188.20,classical
2025-11-09T18:46:16+00:00,P-256,ecdh,ecdh,0.0478,20935.00,classical
2025-11-09T18:46:22+00:00,RSA-2048,sig,sign,0.6042,1655.10,classical
2025-11-09T18:46:22+00:00,RSA-2048,sig,verify,0.0171,58416.80,classical
2025-11-09T18:46:29+00:00,RSA-2048,sig,sign,0.6076,1645.90,classical
2025-11-09T18:46:29+00:00,RSA-2048,sig,verify,0.0173,57696.30,classical
2025-11-09T18:46:35+00:00,RSA-2048,sig,sign,0.6113,1635.80,classical
2025-11-09T18:46:35+00:00,RSA-2048,sig,verify,0.0169,59259.30,classical
2025-11-09T18:46:41+00:00,RSA-2048,sig,sign,0.6048,1653.40,classical
2025-11-09T18:46:41+00:00,RSA-2048,sig,verify,0.0169,59332.40,classical
2025-11-09T18:46:47+00:00,RSA-2048,sig,sign,0.6148,1626.60,classical
2025-11-09T18:46:47+00:00,RSA-2048,sig,verify,0.0173,57679.50,classical
2025-11-09T18:46:53+00:00,RSA-2048,sig,sign,0.6109,1637.00,classical
2025-11-09T18:46:53+00:00,RSA-2048,sig,verify,0.0169,59234.30,classical
2025-11-09T18:46:59+00:00,RSA-2048,sig,sign,0.6043,1654.70,classical
2025-11-09T18:46:59+00:00,RSA-2048,sig,verify,0.0171,58465.40,classical
2025-11-09T18:47:05+00:00,RSA-2048,sig,sign,0.6198,1613.50,classical
