timestamp,protocol,scheme,kem,signature,client_ip,server_ip,cond_profile,latency_ms,handshake_ms,throughput_mbps,cpu_pct,mem_mb,packet_loss_pct
2025-10-24T08:43:26-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.401,9.07,NA,NA,NA,0
2025-10-24T08:43:27-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.395,17.3,NA,NA,NA,0
2025-10-24T08:43:28-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.924,5.89,NA,NA,NA,0
2025-10-24T08:43:29-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.842,5.35,NA,NA,NA,0
2025-10-24T08:43:30-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.084,5.97,NA,NA,NA,0
2025-10-24T08:43:31-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.140,4.87,NA,NA,NA,0
2025-10-24T08:43:32-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.158,5.64,NA,NA,NA,0
2025-10-24T08:43:34-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.139,5.97,NA,NA,NA,0
2025-10-24T08:43:35-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.158,6.86,NA,NA,NA,0
2025-10-24T08:43:36-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,4.993,5.75,NA,NA,NA,0
2025-10-24T08:43:37-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.217,4.79,NA,NA,NA,0
2025-10-24T08:43:38-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.498,5.00,NA,NA,NA,0
2025-10-24T08:43:39-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,6.077,6.02,NA,NA,NA,0
2025-10-24T08:43:40-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.753,5.33,NA,NA,NA,0
2025-10-24T08:43:41-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.048,4.55,NA,NA,NA,0
2025-10-24T08:43:42-05:00,WireGuard,classic,X25519,Ed25519,10.10.0.2,10.10.0.1,local,5.397,5.21,NA,NA,NA,0
