cond_profile,protocol,scheme,metric,value,Q1,Q3,IQR,lower_bound,upper_bound,group_mean,group_median,timestamp,ratio_to_mean
realistic,IPsec,hybrid,handshake_ms,8867006.78,323.33,343.65,20.32,120.18,546.8,12560.19,332.37,2025-10-27T07:16:01-05:00,705.96
local,IPsec,hybrid,handshake_ms,82814.64,227.34,240.89,13.56,91.76,376.47,445.51,233.09,2025-10-26T22:45:17-05:00,185.89
adverse,IPsec,hybrid,handshake_ms,88514.28,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T11:31:44-05:00,106.94
local,IPsec,hybrid,handshake_ms,47311.53,227.34,240.89,13.56,91.76,376.47,445.51,233.09,2025-10-26T23:50:17-05:00,106.2
highlat,IPsec,hybrid,handshake_ms,116646.17,822.93,840.08,17.14,651.48,1011.53,1429.18,830.35,2025-10-27T21:08:49-05:00,81.62
adverse,IPsec,hybrid,handshake_ms,54612.97,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T09:21:40-05:00,65.98
highlat,IPsec,hybrid,handshake_ms,77585.66,822.93,840.08,17.14,651.48,1011.53,1429.18,830.35,2025-10-27T13:41:50-05:00,54.29
local,IPsec,hybrid,handshake_ms,23065.39,227.34,240.89,13.56,91.76,376.47,445.51,233.09,2025-10-27T00:55:18-05:00,51.77
highlat,IPsec,hybrid,handshake_ms,60626.4,822.93,840.08,17.14,651.48,1011.53,1429.18,830.35,2025-10-27T20:03:42-05:00,42.42
highlat,IPsec,hybrid,handshake_ms,39192.21,822.93,840.08,17.14,651.48,1011.53,1429.18,830.35,2025-10-27T22:13:55-05:00,27.42
adverse,IPsec,hybrid,handshake_ms,19049.58,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T12:36:46-05:00,23.02
highlat,IPsec,hybrid,handshake_ms,29158.02,822.93,840.08,17.14,651.48,1011.53,1429.18,830.35,2025-10-27T14:46:52-05:00,20.4
adverse,IPsec,hybrid,handshake_ms,9070.46,521.45,537.16,15.7,364.45,694.16,827.68,527.97,2025-10-27T10:26:42-05:00,10.96
realistic,IPsec,hybrid,handshake_ms,133601.16,323.33,343.65,20.32,120.18,546.8,12560.19,332.37,2025-10-27T07:48:01-05:00,10.64
highlat,IPsec,classic,handshake_ms,15118.59,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:37:44-05:00,9.27
highlat,IPsec,classic,handshake_ms,15102.9,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:37:59-05:00,9.26
highlat,IPsec,classic,handshake_ms,15099.47,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T13:21:16-05:00,9.26
highlat,IPsec,classic,handshake_ms,13752.5,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:13:08-05:00,8.44
adverse,IPsec,classic,handshake_ms,6332.37,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:44:00-05:00,8.0
adverse,IPsec,classic,handshake_ms,6326.67,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:56:48-05:00,7.99
adverse,IPsec,classic,handshake_ms,6322.18,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:19:30-05:00,7.99
adverse,IPsec,classic,handshake_ms,6307.58,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:46:40-05:00,7.97
adverse,IPsec,classic,handshake_ms,6289.55,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T11:47:59-05:00,7.95
adverse,IPsec,classic,handshake_ms,6271.69,595.41,625.63,30.22,293.21,927.83,791.39,609.62,2025-10-25T12:18:11-05:00,7.92
highlat,IPsec,classic,handshake_ms,10874.4,898.0,946.98,48.99,408.12,1436.86,1630.31,915.82,2025-10-25T14:26:14-05:00,6.67
